FID,PC1,outlier
PI533830,0.2,0.2
PI533915,0.2,0.2
PI533949,0.2,0.2
PI576337,0.2,0.2
PI576396,0.2,0.2
PI576434,0.2,0.2
PI655987,0.2,0.2
PI656020,0.2,0.2
PI533903,0.2,0.2
PI656007,0.2,0.2
PI534047,0.2,0.2
PI533785,0.2,0.2
PI552861,0.2,0.2
PI34911,0.2,0.2
PI35038,0.2,0.2
PI48770,0.2,0.2
PI533750,0.2,0.2
PI533754,0.2,0.2
PI533755,0.2,0.2
PI533757,0.2,0.2
PI533758,0.2,0.2
PI533760,0.2,0.2
PI533761,0.2,0.2
PI533762,0.2,0.2
PI533766,0.2,0.2
PI533769,0.2,0.2
PI533776,0.2,0.2
PI533788,0.2,0.2
PI533789,0.2,0.2
PI533794,0.2,0.2
PI533799,0.2,0.2
PI533800,0.2,0.2
PI533807,0.2,0.2
PI533810,0.2,0.2
PI533814,0.2,0.2
PI533821,0.2,0.2
PI533822,0.2,0.2
PI533824,0.2,0.2
PI533833,0.2,0.2
PI533841,0.2,0.2
PI533842,0.2,0.2
PI533843,0.2,0.2
PI533852,0.2,0.2
PI533856,0.2,0.2
PI533866,0.2,0.2
PI533869,0.2,0.2
PI533871,0.2,0.2
PI533876,0.2,0.2
PI533877,0.2,0.2
PI533878,0.2,0.2
PI533882,0.2,0.2
PI533901,0.2,0.2
PI533910,0.2,0.2
PI533911,0.2,0.2
PI533912,0.2,0.2
PI533913,0.2,0.2
PI533919,0.2,0.2
PI533924,0.2,0.2
PI533927,0.2,0.2
PI533936,0.2,0.2
PI533938,0.2,0.2
PI533939,0.2,0.2
PI533940,0.2,0.2
PI533943,0.2,0.2
PI533948,0.2,0.2
PI533955,0.2,0.2
PI533956,0.2,0.2
PI533957,0.2,0.2
PI533961,0.2,0.2
PI533962,0.2,0.2
PI533965,0.2,0.2
PI533967,0.2,0.2
PI533970,0.2,0.2
PI533976,0.2,0.2
PI533979,0.2,0.2
PI533980,0.2,0.2
PI533985,0.2,0.2
PI533986,0.2,0.2
PI533989,0.2,0.2
PI533996,0.2,0.2
PI533997,0.2,0.2
PI534009,0.2,0.2
PI534021,0.2,0.2
PI534028,0.2,0.2
PI534037,0.2,0.2
PI534053,0.2,0.2
PI534054,0.2,0.2
PI534063,0.2,0.2
PI534070,0.2,0.2
PI534075,0.2,0.2
PI534079,0.2,0.2
PI534088,0.2,0.2
PI534092,0.2,0.2
PI534096,0.2,0.2
PI534097,0.2,0.2
PI534099,0.2,0.2
PI534101,0.2,0.2
PI534105,0.2,0.2
PI534108,0.2,0.2
PI534112,0.2,0.2
PI534114,0.2,0.2
PI534115,0.2,0.2
PI534116,0.2,0.2
PI534117,0.2,0.2
PI534123,0.2,0.2
PI534124,0.2,0.2
PI534127,0.2,0.2
PI534128,0.2,0.2
PI534132,0.2,0.2
PI534133,0.2,0.2
PI534135,0.2,0.2
PI534137,0.2,0.2
PI534144,0.2,0.2
PI534145,0.2,0.2
PI534148,0.2,0.2
PI534163,0.2,0.2
PI534167,0.2,0.2
PI542406,0.2,0.2
PI548797,0.2,0.2
PI552856,0.2,0.2
PI561071,0.2,0.2
