Row.names,V1.x,V2.x,V3.x,V4.x,V5.x,V6,V1.y,V2.y,V3.y,V4.y,V5.y,grp,bicolor
1,PI_48770,PI_48770,0,0,0,-9,1e-05,1e-05,1e-05,0.99996,1e-05,4,TRUE
10,PI_534047,PI_534047,0,0,0,-9,1e-05,0.012292,0.077263,0.090857,0.819578,5,FALSE
100,PI_576426,PI_576426,0,0,0,-9,1e-05,0.941748,1e-05,0.058222,1e-05,2,FALSE
101,PI_576428,PI_576428,0,0,0,-9,1e-05,1e-05,0.226718,0.040603,0.732659,5,FALSE
102,PI_576435,PI_576435,0,0,0,-9,0.009039,0.057232,0.20752,1e-05,0.726199,5,FALSE
103,PI_576437,PI_576437,0,0,0,-9,0.314802,1e-05,1e-05,0.089871,0.595307,5,FALSE
104,PI_585295,PI_585295,0,0,0,-9,0.347851,1e-05,0.378119,1e-05,0.27401,3,FALSE
105,PI_595699,PI_595699,0,0,0,-9,1e-05,0.920311,1e-05,1e-05,0.079659,2,FALSE
106,PI_533766,PI_533766,0,0,0,-9,0.99996,1e-05,1e-05,1e-05,1e-05,1,FALSE
107,PI_595702,PI_595702,0,0,0,-9,1e-05,1.8e-05,1e-05,0.999952,1e-05,4,TRUE
108,PI_595714,PI_595714,0,0,0,-9,1e-05,0.084362,1e-05,0.003858,0.91176,5,FALSE
109,PI_595718,PI_595718,0,0,0,-9,0.157338,1e-05,0.129117,1e-05,0.713525,5,FALSE
11,PI_533750,PI_533750,0,0,0,-9,1e-05,0.734188,0.189325,0.076467,1e-05,2,FALSE
110,PI_595720,PI_595720,0,0,0,-9,1e-05,0.943883,0.056086,1.1e-05,1e-05,2,FALSE
111,PI_595739,PI_595739,0,0,0,-9,1e-05,1e-05,1e-05,0.086877,0.913093,5,FALSE
112,PI_595740,PI_595740,0,0,0,-9,1e-05,1e-05,0.069517,0.527478,0.402985,4,TRUE
113,PI_595741,PI_595741,0,0,0,-9,0.597716,1e-05,0.002747,0.399517,1e-05,1,FALSE
114,PI_595743,PI_595743,0,0,0,-9,0.18173,1e-05,0.288889,0.529361,1e-05,4,TRUE
115,PI_595744,PI_595744,0,0,0,-9,0.052226,1e-05,0.053989,0.40675,0.487025,5,FALSE
116,PI_595745,PI_595745,0,0,0,-9,1e-05,1e-05,1e-05,0.098997,0.900973,5,FALSE
117,PI_533769,PI_533769,0,0,0,-9,0.073185,0.034748,0.010277,1e-05,0.88178,5,FALSE
118,PI_597945,PI_597945,0,0,0,-9,0.109351,0.7689,0.119418,1e-05,0.002321,2,FALSE
119,PI_597946,PI_597946,0,0,0,-9,1e-05,0.241341,0.061553,0.222252,0.474843,5,FALSE
12,PI_534053,PI_534053,0,0,0,-9,1e-05,0.096469,0.127358,0.000889,0.775273,5,FALSE
120,PI_597949,PI_597949,0,0,0,-9,0.18671,0.227205,1e-05,0.477138,0.108937,4,TRUE
121,PI_597950,PI_597950,0,0,0,-9,0.026175,0.316855,1e-05,0.418161,0.238799,4,TRUE
122,PI_597951,PI_597951,0,0,0,-9,0.827313,1.9e-05,0.166733,0.005925,1e-05,1,FALSE
123,PI_597952,PI_597952,0,0,0,-9,0.05149,0.029504,0.161874,0.161428,0.595704,5,FALSE
124,PI_597957,PI_597957,0,0,0,-9,0.167751,0.698698,0.133531,1e-05,1e-05,2,FALSE
125,PI_597958,PI_597958,0,0,0,-9,0.110015,1e-05,0.189165,0.534369,0.166441,4,TRUE
126,PI_597960,PI_597960,0,0,0,-9,0.842713,1e-05,1e-05,0.107899,0.049368,1,FALSE
127,PI_533776,PI_533776,0,0,0,-9,0.99996,1e-05,1e-05,1e-05,1e-05,1,FALSE
128,PI_597961,PI_597961,0,0,0,-9,1e-05,1e-05,1e-05,0.095977,0.903993,5,FALSE
129,PI_597964,PI_597964,0,0,0,-9,1e-05,1e-05,0.114203,1e-05,0.885767,5,FALSE
13,PI_534054,PI_534054,0,0,0,-9,0.081928,1e-05,1e-05,0.741058,0.176994,4,TRUE
130,PI_597965,PI_597965,0,0,0,-9,1e-05,1e-05,1e-05,1e-05,0.99996,5,FALSE
131,PI_597966,PI_597966,0,0,0,-9,1e-05,1e-05,1e-05,0.058631,0.941339,5,FALSE
132,PI_597967,PI_597967,0,0,0,-9,1e-05,1e-05,1e-05,1e-05,0.99996,5,FALSE
133,PI_597968,PI_597968,0,0,0,-9,1e-05,0.249975,0.010615,0.081057,0.658344,5,FALSE
134,PI_597971,PI_597971,0,0,0,-9,0.033983,0.096907,1e-05,0.072988,0.796113,5,FALSE
135,PI_597972,PI_597972,0,0,0,-9,0.180374,0.481224,0.050423,1e-05,0.287969,2,FALSE
136,PI_533785,PI_533785,0,0,0,-9,0.99996,1e-05,1e-05,1e-05,1e-05,1,FALSE
137,PI_597973,PI_597973,0,0,0,-9,0.248456,0.487419,0.028542,1e-05,0.235573,2,FALSE
138,PI_597976,PI_597976,0,0,0,-9,0.99996,1e-05,1e-05,1e-05,1e-05,1,FALSE
139,PI_597980,PI_597980,0,0,0,-9,1e-05,1e-05,1e-05,0.023461,0.976509,5,FALSE
14,PI_534063,PI_534063,0,0,0,-9,0.999957,1.3e-05,1e-05,1e-05,1e-05,1,FALSE
140,PI_597982,PI_597982,0,0,0,-9,0.080771,0.016556,1e-05,0.114363,0.7883,5,FALSE
141,PI_598069,PI_598069,0,0,0,-9,0.050642,0.8148,0.053059,0.081489,1e-05,2,FALSE
142,PI_601816,PI_601816,0,0,0,-9,1e-05,1.8e-05,1e-05,1e-05,0.999952,5,FALSE
143,PI_607931,PI_607931,0,0,0,-9,1e-05,1e-05,1e-05,0.443485,0.556485,5,FALSE
144,PI_609456,PI_609456,0,0,0,-9,0.970841,1e-05,0.029129,1e-05,1e-05,1,FALSE
145,PI_613536,PI_613536,0,0,0,-9,0.107125,0.359363,0.05085,1e-05,0.482652,5,FALSE
146,PI_629040,PI_629040,0,0,0,-9,1e-05,1e-05,0.834511,1e-05,0.165459,3,FALSE
147,PI_629059,PI_629059,0,0,0,-9,1e-05,1e-05,1e-05,0.710085,0.289885,4,TRUE
148,PI_641849,PI_641849,0,0,0,-9,1.3e-05,0.303627,0.112187,0.584164,1e-05,4,TRUE
149,PI_641874,PI_641874,0,0,0,-9,1e-05,1.5e-05,0.746449,0.253516,1e-05,3,FALSE
15,PI_534070,PI_534070,0,0,0,-9,0.99996,1e-05,1e-05,1e-05,1e-05,1,FALSE
150,PI_642791,PI_642791,0,0,0,-9,1e-05,1e-05,0.233566,0.266011,0.500404,5,FALSE
151,PI_642793,PI_642793,0,0,0,-9,0.049734,1e-05,0.38959,0.236575,0.324091,3,FALSE
152,PI_533789,PI_533789,0,0,0,-9,0.136742,0.005167,0.068405,0.024711,0.764974,5,FALSE
153,PI_642998,PI_642998,0,0,0,-9,1e-05,0.99996,1e-05,1e-05,1e-05,2,FALSE
154,PI_651496,PI_651496,0,0,0,-9,1e-05,1e-05,1e-05,0.293877,0.706093,5,FALSE
155,PI_655970,PI_655970,0,0,0,-9,1e-05,1e-05,1e-05,0.99996,1e-05,4,TRUE
156,PI_655971,PI_655971,0,0,0,-9,1e-05,1e-05,0.99996,1e-05,1e-05,3,FALSE
157,PI_655972,PI_655972,0,0,0,-9,1e-05,1e-05,1e-05,0.99996,1e-05,4,TRUE
158,PI_655973,PI_655973,0,0,0,-9,1e-05,1e-05,0.526767,1e-05,0.473203,3,FALSE
159,PI_655974,PI_655974,0,0,0,-9,1e-05,1e-05,1e-05,0.99996,1e-05,4,TRUE
16,Check_5,Check_5,0,0,0,-9,1e-05,1e-05,0.732527,0.267443,1e-05,3,FALSE
160,PI_655975,PI_655975,0,0,0,-9,1e-05,1e-05,0.152188,0.847782,1e-05,4,TRUE
161,PI_655976,PI_655976,0,0,0,-9,1e-05,1e-05,0.154643,0.845327,1e-05,4,TRUE
162,PI_655977,PI_655977,0,0,0,-9,1e-05,1e-05,0.17372,1e-05,0.82625,5,FALSE
163,PI_655978,PI_655978,0,0,0,-9,0.355269,1e-05,0.570605,0.074106,1e-05,3,FALSE
164,PI_655979,PI_655979,0,0,0,-9,0.172076,1e-05,0.583378,0.009828,0.234708,3,FALSE
165,PI_655981,PI_655981,0,0,0,-9,0.838404,1.1e-05,0.161565,1e-05,1e-05,1,FALSE
166,PI_533794,PI_533794,0,0,0,-9,1e-05,1e-05,0.038363,1e-05,0.961607,5,FALSE
167,PI_655992,PI_655992,0,0,0,-9,1e-05,1e-05,1e-05,0.99996,1e-05,4,TRUE
168,PI_655993,PI_655993,0,0,0,-9,1e-05,1e-05,0.153759,0.846211,1e-05,4,TRUE
169,PI_533799,PI_533799,0,0,0,-9,1e-05,1e-05,1e-05,1e-05,0.99996,5,FALSE
17,PI_534096,PI_534096,0,0,0,-9,0.999959,1.1e-05,1e-05,1e-05,1e-05,1,FALSE
170,PI_655994,PI_655994,0,0,0,-9,1e-05,0.283934,0.031994,0.515264,0.168798,4,TRUE
171,PI_655995,PI_655995,0,0,0,-9,1e-05,0.99996,1e-05,1e-05,1e-05,2,FALSE
172,PI_655996,PI_655996,0,0,0,-9,0.330749,1e-05,0.65591,1e-05,0.013321,3,FALSE
173,PI_655997,PI_655997,0,0,0,-9,1e-05,1e-05,0.605195,0.095022,0.299763,3,FALSE
174,PI_655998,PI_655998,0,0,0,-9,0.782944,1e-05,0.049334,0.167702,1e-05,1,FALSE
175,PI_655999,PI_655999,0,0,0,-9,1e-05,0.888492,1e-05,0.052367,0.059121,2,FALSE
176,PI_656000,PI_656000,0,0,0,-9,1e-05,1e-05,1e-05,0.410743,0.589227,5,FALSE
177,PI_656001,PI_656001,0,0,0,-9,1e-05,1e-05,0.201211,0.08783,0.71094,5,FALSE
178,PI_656002,PI_656002,0,0,0,-9,1e-05,1e-05,1e-05,0.99996,1e-05,4,TRUE
179,PI_656003,PI_656003,0,0,0,-9,1e-05,1e-05,0.15643,0.84354,1e-05,4,TRUE
18,PI_533752,PI_533752,0,0,0,-9,1e-05,1e-05,1e-05,0.22783,0.77214,5,FALSE
180,PI_533800,PI_533800,0,0,0,-9,1e-05,1e-05,0.195452,1e-05,0.804518,5,FALSE
181,PI_656004,PI_656004,0,0,0,-9,0.488253,1e-05,0.465726,0.046,1e-05,1,FALSE
182,PI_656005,PI_656005,0,0,0,-9,1e-05,1e-05,0.069062,0.799307,0.131611,4,TRUE
183,PI_656006,PI_656006,0,0,0,-9,0.045866,1e-05,0.306748,0.308553,0.338823,5,FALSE
184,PI_656007,PI_656007,0,0,0,-9,1e-05,1e-05,1e-05,0.572104,0.427866,4,TRUE
185,PI_656008,PI_656008,0,0,0,-9,1e-05,1e-05,1e-05,1e-05,0.99996,5,FALSE
186,PI_656009,PI_656009,0,0,0,-9,1e-05,1e-05,1e-05,0.089057,0.910913,5,FALSE
187,PI_656010,PI_656010,0,0,0,-9,0.4623,1e-05,0.53767,1e-05,1e-05,3,FALSE
188,PI_656011,PI_656011,0,0,0,-9,1e-05,1e-05,0.083009,1e-05,0.916961,5,FALSE
189,PI_656012,PI_656012,0,0,0,-9,1e-05,1e-05,0.99996,1e-05,1e-05,3,FALSE
19,PI_534097,PI_534097,0,0,0,-9,1e-05,0.012856,0.144185,0.842939,1e-05,4,TRUE
190,PI_656013,PI_656013,0,0,0,-9,1e-05,0.986106,0.013864,1e-05,1e-05,2,FALSE
191,PI_533807,PI_533807,0,0,0,-9,0.307201,1e-05,1e-05,1e-05,0.692769,5,FALSE
192,PI_656014,PI_656014,0,0,0,-9,1e-05,0.99996,1e-05,1e-05,1e-05,2,FALSE
193,PI_656016,PI_656016,0,0,0,-9,1e-05,0.068367,0.291707,0.339731,0.300185,4,TRUE
194,PI_656017,PI_656017,0,0,0,-9,1e-05,1.6e-05,0.999954,1e-05,1e-05,3,FALSE
195,PI_656018,PI_656018,0,0,0,-9,1.8e-05,1.2e-05,0.24088,0.75908,1e-05,4,TRUE
196,PI_656019,PI_656019,0,0,0,-9,1e-05,1e-05,0.348455,0.651515,1e-05,4,TRUE
197,PI_656020,PI_656020,0,0,0,-9,1e-05,1e-05,0.304628,0.695342,1e-05,4,TRUE
198,PI_656021,PI_656021,0,0,0,-9,1e-05,1e-05,0.99996,1e-05,1e-05,3,FALSE
199,PI_656022,PI_656022,0,0,0,-9,1e-05,1e-05,1e-05,0.99996,1e-05,4,TRUE
2,PI_533991,PI_533991,0,0,0,-9,1e-05,1e-05,1e-05,0.141621,0.858349,5,FALSE
20,PI_534099,PI_534099,0,0,0,-9,1e-05,1e-05,1e-05,1e-05,0.99996,5,FALSE
200,PI_656023,PI_656023,0,0,0,-9,1e-05,1e-05,1e-05,0.99996,1e-05,4,TRUE
201,PI_533810,PI_533810,0,0,0,-9,1e-05,0.958943,0.041027,1e-05,1e-05,2,FALSE
202,PI_656024,PI_656024,0,0,0,-9,1e-05,1e-05,0.029364,1e-05,0.970606,5,FALSE
203,PI_656025,PI_656025,0,0,0,-9,1e-05,0.99996,1e-05,1e-05,1e-05,2,FALSE
204,PI_656026,PI_656026,0,0,0,-9,1e-05,1e-05,1e-05,1e-05,0.99996,5,FALSE
205,PI_656027,PI_656027,0,0,0,-9,1e-05,0.09342,1e-05,0.094186,0.812374,5,FALSE
206,PI_656028,PI_656028,0,0,0,-9,1e-05,1.9e-05,2e-05,0.999941,1e-05,4,TRUE
207,internalID_325,internalID_325,0,0,0,-9,1e-05,1e-05,0.86116,0.13881,1e-05,3,FALSE
208,PI_656029,PI_656029,0,0,0,-9,1e-05,0.823384,1e-05,0.176586,1e-05,2,FALSE
209,PI_656030,PI_656030,0,0,0,-9,1e-05,1e-05,0.999959,1.1e-05,1e-05,3,FALSE
21,PI_534101,PI_534101,0,0,0,-9,0.016105,1e-05,0.109766,0.127326,0.746794,5,FALSE
210,PI_656031,PI_656031,0,0,0,-9,1e-05,1e-05,1e-05,1e-05,0.99996,5,FALSE
211,PI_656032,PI_656032,0,0,0,-9,0.065779,1e-05,0.139789,0.740947,0.053475,4,TRUE
212,Check_1,Check_1,0,0,0,-9,1e-05,1e-05,0.802883,0.197087,1e-05,3,FALSE
