"","value"
"Btx623",60.6178967213643
"BTx623",60.3277713359214
"PI_152651",52.8298535486373
"PI_17548",58.673530042087
"PI_276837",61.3357676330038
"PI_329435",64.4417114890734
"PI_329440",61.7794738981566
"PI_34911",70.6535992012127
"PI_48770",67.1039490799903
"PI_533750",61.3357676330038
"PI_533752",63.110592693615
"PI_533754",58.673530042087
"PI_533755",64.4417114890734
"PI_533757",65.3291240193791
"PI_533758",65.3291240193791
"PI_533759",58.2298237769342
"PI_533760",62.4011912220631
"PI_533761",71.9847179966712
"PI_533766",58.673530042087
"PI_533769",57.6155223853502
"PI_533776",61.3357676330038
"PI_533785",60.892061367851
"PI_533789",65.7728302845318
"PI_533794",63.9980052239206
"PI_533799",63.5542989587678
"PI_533800",70.2098929360599
"PI_533807",69.5796944771324
"PI_533810",69.5796944771324
"PI_533814",68.8787741406015
"PI_533821",66.2165365496847
"PI_533824",65.3291240193791
"PI_533830",56.8179109125647
"PI_533833",62.6668864284622
"PI_533838",53.7927611254061
"PI_533839",65.7728302845318
"PI_533841",63.110592693615
"PI_533842",73.7595430572824
"PI_533845",64.4417114890734
"PI_533852",63.1988026948486
"PI_533855",63.110592693615
"PI_533856",71.5410117315183
"PI_533863",62.6668864284622
"PI_533866",65.7728302845318
"PI_533869",63.1988026948486
"PI_533901",69.5796944771324
"PI_533902",67.9844715315615
"PI_533903",67.1039490799903
"PI_533910",60.0083568037067
"PI_533911",60.892061367851
"PI_533912",51.2346306030664
"PI_533913",60.4483551026982
"PI_533915",62.2231801633094
"PI_533919",63.5542989587678
"PI_533921",61.7794738981566
"PI_533924",67.1039490799903
"PI_533927",66.6602428148375
"PI_533936",61.6035797492776
"PI_533937",59.1172363072398
"PI_533938",56.0112924511701
"PI_533939",60.4483551026982
"PI_533940",61.7794738981566
"PI_533943",64.8854177542263
"PI_533948",60.892061367851
"PI_533949",52.4616423299477
"PI_533954",55.2226879669938
"PI_533955",60.892061367851
"PI_533956",64.8854177542263
"PI_533957",56.8987049814757
"PI_533961",63.1988026948486
"PI_533962",69.3224804057543
"PI_533964",69.5796944771324
"PI_533965",67.5476553451431
"PI_533967",66.2165365496847
"PI_533970",63.1988026948486
"PI_533972",67.1039490799903
"PI_533976",63.1988026948486
"PI_533979",57.6155223853502
"PI_533980",69.3224804057543
"PI_533985",62.6668864284622
"PI_533986",60.0046488375454
"PI_533987",57.3424112466285
"PI_533989",69.7661866709071
"PI_533991",62.6668864284622
"PI_533996",58.2298237769342
"PI_533997",56.8987049814757
"PI_533998",57.3424112466285
"PI_534009",76.4217806481992
"PI_534021",74.646955587588
"PI_534037",60.4483551026982
"PI_534046",64.4417114890734
"PI_534047",52.4616423299477
"PI_534053",64.4417114890734
"PI_534054",67.9844715315615
"PI_534063",59.1172363072398
"PI_534070",56.0112924511701
"PI_534097",59.5609425723926
"PI_534099",63.110592693615
"PI_534101",60.892061367851
"PI_534104",62.4011912220631
"PI_534105",63.9964141676341
"PI_534108",62.6668864284622
"PI_534112",64.4417114890734
"PI_534114",65.7728302845318
"PI_534115",63.110592693615
"PI_534116",61.7794738981566
"PI_534117",56.4549987163229
"PI_534123",61.7794738981566
"PI_534124",67.186860058776
"PI_534127",62.6668864284622
"PI_534128",63.9964141676341
"PI_534132",62.6668864284622
"PI_534133",67.5476553451431
"PI_534135",74.646955587588
"PI_534137",63.110592693615
"PI_534138",71.5410117315183
"PI_534139",57.6155223853502
"PI_534144",65.3291240193791
"PI_534145",54.2364673905589
"PI_534148",63.5542989587678
"PI_534155",67.1039490799903
"PI_534157",66.2165365496847
"PI_534163",68.8787741406015
"PI_542406",79.9486436233437
