"","value"
"BTx623",64.630493426364
"PI_152651",59.6662743564747
"PI_17548",65.25426636436
"PI_276837",62.5625653241796
"PI_329435",76.9183042051419
"PI_329440",64.80564952433
"PI_34911",74.3114498112015
"PI_48770",67.9459674045405
"PI_533750",62.5625653241796
"PI_533752",66.6001168844503
"PI_533754",62.1139484841495
"PI_533755",70.6376684447209
"PI_533757",70.1890516046908
"PI_533758",68.3945842445705
"PI_533759",63.9084158442698
"PI_533760",65.7028832043901
"PI_533761",71.534902124781
"PI_533766",61.6653316441195
"PI_533769",60.7680979640593
"PI_533776",71.0569663768178
"PI_533785",63.9084158442698
"PI_533789",72.0696320662068
"PI_533794",67.0487337244803
"PI_533799",68.8432010846006
"PI_533800",74.5104946419946
"PI_533807",69.7404347646608
"PI_533810",76.4696873651118
"PI_533814",72.4321358048412
"PI_533821",68.8432010846006
"PI_533824",69.7404347646608
"PI_533830",67.0487337244803
"PI_533833",64.3570326842999
"PI_533838",56.411790922091
"PI_533839",66.1752412252422
"PI_533841",68.3945842445705
"PI_533842",76.1377363591865
"PI_533845",66.1752412252422
"PI_533852",63.4597990042398
"PI_533855",64.5479995080503
"PI_533856",75.1238368450216
"PI_533863",65.7028832043901
"PI_533866",68.8432010846006
"PI_533869",65.25426636436
"PI_533878",59.6662743564747
"PI_533901",67.4973505645104
"PI_533902",72.8807526448713
"PI_533903",66.6001168844502
"PI_533910",63.9084158442698
"PI_533911",68.61610380103
"PI_533912",51.3471443234278
"PI_533913",63.4597990042398
"PI_533915",64.3570326842999
"PI_533919",66.1515000444202
"PI_533921",66.1752412252422
"PI_533924",70.6376684447209
"PI_533927",68.8432010846006
"PI_533936",63.4597990042398
"PI_533937",62.5625653241796
"PI_533938",60.7680979640593
"PI_533939",65.7028832043901
"PI_533940",63.9084158442698
"PI_533943",66.1515000444202
"PI_533948",63.4597990042398
"PI_533949",62.5625653241796
"PI_533954",63.7343786494544
"PI_533955",61.6653316441195
"PI_533956",61.6653316441195
"PI_533957",64.3570326842999
"PI_533961",65.25426636436
"PI_533962",67.4973505645104
"PI_533964",70.442390349015
"PI_533965",68.8432010846006
"PI_533967",71.8705872354137
"PI_533970",66.1752412252422
"PI_533972",72.4321358048412
"PI_533976",64.80564952433
"PI_533979",58.525013763909
"PI_533980",70.6376684447209
"PI_533985",66.9888620838381
"PI_533986",67.4973505645104
"PI_533987",62.1139484841495
"PI_533989",71.8705872354137
"PI_533991",64.80564952433
"PI_533996",65.25426636436
"PI_533997",59.8708642839992
"PI_533998",72.4321358048412
"PI_534009",77.366921045172
"PI_534021",75.5724536850517
"PI_534037",63.4597990042398
"PI_534046",63.7343786494544
"PI_534047",54.4874622036383
"PI_534053",71.9835189648111
"PI_534054",69.7404347646608
"PI_534063",61.6653316441195
"PI_534070",56.7305464037887
"PI_534096",71.8705872354137
"PI_534097",63.9084158442698
"PI_534099",65.7028832043901
"PI_534101",67.8024829424341
"PI_534104",67.8024829424341
"PI_534105",64.3570326842999
"PI_534108",65.7028832043901
"PI_534112",71.086285284751
"PI_534114",70.6376684447209
"PI_534115",63.9084158442698
"PI_534116",63.0111821642097
"PI_534117",62.1139484841495
"PI_534123",63.4597990042398
"PI_534124",63.9084158442698
"PI_534127",65.7028832043901
"PI_534128",71.534902124781
"PI_534132",64.5479995080503
"PI_534133",68.8432010846006
"PI_534135",81.6340375385649
"PI_534137",65.3616203666463
"PI_534138",72.8807526448713
"PI_534139",60.4798952150707
"PI_534144",68.61610380103
"PI_534145",58.0763969238789
"PI_534148",69.7404347646608
"PI_534155",68.8432010846006
"PI_534157",68.8432010846006
"PI_534163",71.9835189648111
"PI_542406",77.7649780763784
"PI_542718",61.6653316441195
"PI_548797",72.8807526448713
"PI_552861",63.9084158442698
"PI_561072",67.9459674045405
"PI_561073",76.0210705250818
"PI_561472",75.1250706697975
"PI_564163",66.1752412252422
"PI_564164",67.0487337244803
"PI_564165",76.9183042051419
"PI_565121",76.0210705250818
"PI_574455",75.9386915283934
"PI_576130",74.6752200049915
"PI_576332",67.9459674045405
"PI_576333",66.1752412252422
"PI_576337",63.9084158442698
"PI_576339",61.2167148040894
"PI_576340",63.0111821642097
"PI_576345",72.4321358048412
"PI_576348",66.6001168844502
"PI_576349",71.8705872354137
"PI_576350",58.0390326392829
"PI_576352",63.0111821642097
"PI_576359",68.61610380103
"PI_576364",62.5625653241796
"PI_576366",55.8333127237285
"PI_576373",65.7028832043901
"PI_576375",69.7404347646608
"PI_576376",65.7028832043901
"PI_576380",68.3945842445705
"PI_576381",71.086285284751
"PI_576385",59.8708642839992
"PI_576386",74.6752200049915
"PI_576387",66.9888620838381
"PI_576390",61.6653316441195
"PI_576393",59.6662743564747
"PI_576394",62.5625653241796
"PI_576396",64.5479995080503
"PI_576399",64.3570326842999
"PI_576401",75.1238368450216
"PI_576418",66.1515000444202
"PI_576422",65.7028832043901
"PI_576425",64.5479995080503
"PI_576426",70.1890516046908
"PI_576428",70.6376684447209
"PI_576435",66.1515000444202
"PI_576437",63.9084158442698
"PI_585295",74.2266031649615
"PI_595699",72.4321358048412
"PI_595702",63.4597990042398
"PI_595714",64.5479995080503
"PI_595718",60.4798952150707
"PI_595720",61.6653316441195
"PI_595739",70.6376684447209
"PI_595740",69.7404347646608
"PI_595741",66.9888620838381
"PI_595743",71.8705872354137
"PI_595744",62.5625653241796
"PI_595745",63.9084158442698
"PI_597945",63.9334234802475
"PI_597946",60.4798952150707
"PI_597949",74.6752200049915
"PI_597950",59.8708642839992
"PI_597951",63.4597990042398
"PI_597952",65.25426636436
"PI_597957",64.3570326842999
"PI_597958",67.4973505645104
"PI_597960",68.8432010846006
"PI_597961",63.4597990042398
"PI_597964",70.1890516046908
"PI_597965",63.4597990042398
"PI_597966",62.9207577908585
"PI_597967",68.8432010846006
"PI_597968",63.7343786494544
"PI_597971",67.0487337244803
"PI_597972",63.9084158442698
"PI_597973",70.6376684447209
"PI_597976",61.2167148040894
"PI_597980",63.0111821642097
"PI_597982",56.7305464037887
"PI_601816",71.534902124781
"PI_607931",73.3293694849013
"PI_613536",63.0111821642097
"PI_629040",71.534902124781
"PI_629059",62.5625653241796
"PI_641849",53.1573074877073
"PI_641874",63.4597990042398
"PI_642791",71.9835189648111
"PI_642793",68.3945842445705
"PI_642992",71.9835189648111
"PI_642998",65.25426636436
"PI_651496",78.3795541041812
"PI_655970",69.7404347646608
"PI_655971",62.1139484841495
"PI_655972",67.8024829424341
"PI_655973",65.3616203666463
"PI_655974",66.1515000444202
"PI_655975",69.2918179246307
"PI_655976",66.1515000444202
"PI_655977",67.0487337244803
"PI_655978",68.3945842445705
"PI_655979",63.4597990042398
"PI_655981",68.3945842445705
"PI_655992",64.5479995080503
"PI_655993",65.25426636436
"PI_655994",62.5625653241796
"PI_655995",70.1890516046908
"PI_655996",69.2918179246307
"PI_655997",68.3945842445705
"PI_655998",61.6653316441195
"PI_655999",67.8024829424341
"PI_656000",63.0111821642097
"PI_656001",74.3114498112015
"PI_656002",67.0487337244803
"PI_656003",68.3945842445705
"PI_656004",69.2918179246307
"PI_656005",64.3570326842999
"PI_656006",76.4696873651118
"PI_656007",71.9835189648111
"PI_656008",73.4978289526056
"PI_656009",75.1238368450216
"PI_656010",64.3570326842999
"PI_656011",73.3293694849013
"PI_656012",76.4696873651118
"PI_656013",64.3570326842999
"PI_656014",70.6376684447209
"PI_656016",68.3945842445705
"PI_656017",65.5606651974393
"PI_656018",74.3114498112015
"PI_656019",57.2254117806869
"PI_656020",61.2167148040894
"PI_656021",64.80564952433
"PI_656022",64.80564952433
"PI_656023",72.4321358048412
"PI_656024",81.0194615107621
"PI_656025",62.5625653241796
"PI_656026",75.1238368450216
"PI_656028",67.9459674045405
"PI_656029",74.2266031649615
"PI_656030",51.3471443234278
"PI_656031",71.086285284751
"PI_656032",78.7127715652622
"PI_656034",72.8807526448713
"PI_656035",64.80564952433
"PI_656036",75.1238368450216
"PI_656037",70.1890516046908
"PI_656039",72.8807526448713
"PI_656040",74.3114498112015
"PI_656041",72.0696320662068
"PI_656042",75.9386915283934
"PI_656043",73.3293694849013
"PI_656044",72.0696320662068
"PI_656046",64.5479995080503
"PI_656048",71.534902124781
"PI_656049",70.6376684447209
"PI_656050",67.4973505645104
"PI_656051",73.3293694849013
"PI_656052",64.80564952433
"PI_656053",71.086285284751
"PI_656055",68.3945842445705
"PI_656056",72.8807526448713
"PI_656057",79.1613884052923
"PI_656058",72.4321358048412
"PI_656059",69.7404347646608
"PI_656060",62.9207577908585
"PI_656061",71.9835189648111
"PI_656062",75.9386915283934
"PI_656068",72.4321358048412
"PI_656069",77.8155378852021
"PI_656070",71.534902124781
"PI_656071",72.4321358048412
"PI_656072",79.1931749627771
"PI_656074",68.3945842445705
"PI_656075",74.2266031649615
"PI_656076",68.8432010846006
"PI_656077",60.3194811240293
"PI_656078",66.1752412252422
"PI_656079",67.0487337244803
"PI_656080",66.6001168844502
"PI_656081",65.25426636436
"PI_656082",75.1238368450216
"PI_656085",56.2819295637586
"PI_656086",71.534902124781
"PI_656087",57.1791632438187
"PI_656088",65.25426636436
"PI_656089",62.5625653241796
"PI_656090",67.8024829424341
"PI_656091",77.8155378852021
"PI_656092",74.5104946419946
