PlotIDRed,SorghumAccessionYellow,SorghumAccessionRed,SorghumNameRed,Row,Column,Block,Treatment,DaysToBloom,MedianLeafAngle,LeafAngleSDV,PoorStand.,PaniclesPerPlot,PanicleGrainWeight,EstimatedPlotYield,FlagLeafLength,FlagLeafWidth,ExtantLeafNumber,PlantHeight,TillersPerPlant,StemDiameterLower,StemDiameterUpper,RachisLength,RachisDiameterLower,RachisDiameterUpper,PrimaryBranchNo,BranchInternodeLength
5014,PI_656057,PI_656057,P898012,15,31,5,SufficientNitrogen,83,63.05,5.9,0,18,29.8,536.4,45.7,9.1,15,128,2.67,25.6,10.06,15.7,9.63,4.33,39,2.55
5015,PI_656011,PI_656011,90EON328,16,31,5,SufficientNitrogen,76,36.4,5.89,0,16,71.4,1142.4,54.7,7.1,14,110,1.67,24.91,10.52,25.27,7.74,2.17,57,2.17
5016,PI_576347,PI_576347,SAP-342,17,31,5,SufficientNitrogen,53,35.45,1.65,1,16,NA,NA,54,4.5,7,85,2.5,15.41,6.81,25.4,5.26,1.12,33,2.35
5027,PI_534117,PI_534117,Mashica,15,30,5,SufficientNitrogen,55,44.6,3.95,0,14,45.9,642.6,37.5,5.2,12,77,0,22.6,12.32,17.1,8.32,2.48,50,2.8
5028,PI_564163,BTx623,BTx623,16,30,5,SufficientNitrogen,62,49,7.39,0,10,85.5,855,38.2,6.1,12,100,0,24.03,11.62,27.87,8.15,3.09,71.33,1.6
5029,PI_564163,BTx623,BTx623,17,30,5,SufficientNitrogen,62,52.4,5.58,1,8,82.8,662.4,31.6,4.1,11,101,0,25.64,12.14,27.4,7.93,3.24,58.67,2.3
5004,PI_533807,PI_533807,SAP-206,18,30,5,SufficientNitrogen,71,60.4,5.92,0,12,62.9,754.8,38.4,6.2,12,82,1.33,34.67,13.19,16.3,9.59,4.97,65.67,2.17
5005,PI_533901,PI_533901,A-96,19,30,5,SufficientNitrogen,71,62.45,3.25,1,16,41.8,668.8,53.5,6.7,11,88,2,19.94,9.46,23.83,6.3,1.62,36.33,4.13
5006,PI_597976,PI_597976,SAP-172,20,30,5,SufficientNitrogen,62,69.8,7.75,0,16,35.2,563.2,56,3.6,10,190,1.33,22.86,9.15,29.2,5.91,1.76,46.33,1.53
5007,PI_533962,PI_533962,Malwal_Aweil,21,30,5,SufficientNitrogen,71,40.4,8.87,0,NA,NA,NA,34.2,4.7,12,90,1.67,28.17,12.75,21.93,8.48,2.54,53.33,1.67
5009,PI_564163,BTx623,BTx623,23,30,5,SufficientNitrogen,61,57,7.89,0,14,17.8,249.2,52.5,5.4,10,62,0.5,15.07,6.44,23.75,4.98,1.53,52.5,1.85
5011,PI_656029,PI_533789,Kodilib,25,30,5,SufficientNitrogen,65,40.1,2.81,0,16,37.1,593.6,25.3,3.4,13,97,1.67,28.52,8.69,19.33,5.77,2.49,48,1.8
5012,TX430,PI_48770,WHITE_KAFIR,26,30,5,SufficientNitrogen,69,39.9,5.71,0,16,12.3,196.8,31.8,4.3,14,92,0,25.74,8.91,26.8,6.91,2.23,78,1.93
5013,PI_656095,PI_656095,SC_373,27,30,5,SufficientNitrogen,69,31.1,5.35,0,13,16,208,42.7,3.5,10,136,0.67,16.03,11.32,25.1,7.25,2.74,88.67,1.3
5040,PI_576386,PI_576386,SAP-347,15,29,5,SufficientNitrogen,71,54.7,14.42,0,7,26.8,187.6,51.2,2.9,12,130,0,32.09,11.13,2,8.19,8.19,13,4.37
5041,PI_656044,PI_656044,Kuyuma,16,29,5,SufficientNitrogen,71,41.95,3.85,1,3,NA,NA,44.7,6.8,11,100,0,21.33,11.7,24.75,8.15,1.96,59.5,1.95
5042,PI_656037,PI_656037,ICSV_401,17,29,5,SufficientNitrogen,66,45.8,6.15,0,13,97.4,1266.2,51.3,8,14,163,0,29.37,13.96,23.3,11.21,4.35,53.33,0.87
5017,PI_656117,PI_656117,SC_172,18,29,5,SufficientNitrogen,75,46.8,5.6,1,8,48.6,388.8,53.3,8.4,9,85,0,28,12.84,15.33,9.5,3.27,46.67,1.17
5018,PI_533755,PI_533755,Feterita_Gondal,19,29,5,SufficientNitrogen,64,41,7.17,0,18,35.9,646.2,31.9,4.1,10,87,1.33,28.64,10.46,18.47,8.75,4.55,53.33,2.83
5019,PI_533766,PI_533766,No_4_Hadoui,20,29,5,SufficientNitrogen,57,71.9,6.73,1,11,NA,NA,34.6,3.6,11,85,2,19.09,8.19,26.67,4.62,1.65,95.67,2.4
5020,PI_533821,PI_533821,AS4660_Kikuma,21,29,5,SufficientNitrogen,63,52.7,8.1,0,NA,45.7,NA,40.5,5.3,13,133,2,21.39,10.12,18.4,7.55,1.33,49,1.7
5025,PI_656041,PI_656041,80M,26,29,5,SufficientNitrogen,71,43.5,5.37,0,21,21.2,445.2,48.8,4.1,16,125,0.33,22.4,8.84,12.4,6.05,2.12,61.67,0.87
5026,PI_656020,PI_656020,BTx406,27,29,5,SufficientNitrogen,58,38.1,7.15,0,14,16.8,235.2,42.2,3.1,11,80,0,20.64,9.16,15.4,6.39,3,39.33,2.2
5053,PI_655976,PI_655976,RED_KAFIR,15,28,5,SufficientNitrogen,62,49.3,11.56,0,17,52.2,887.4,48,5,13,86,0.33,24.6,12.41,21.9,8.22,2.8,43.67,4.13
5054,PI_564163,BTx623,BTx623,16,28,5,SufficientNitrogen,61,44,5.92,0,14,17.3,242.2,38.2,5,10,88,0.67,26.87,12.05,29.2,8.08,3.37,59,2.3
5030,PI_656079,PI_656079,SC_1426,18,28,5,SufficientNitrogen,68,36.1,4.36,0,10,25.2,252,43.8,4.8,13,128,1,23.85,9.26,41.07,6.57,2.7,84,3.07
5031,PI_656072,PI_656072,SC_1047,19,28,5,SufficientNitrogen,76,39.3,5.12,0,11,54.5,599.5,53.9,6.7,16,99,0.33,36.69,16.6,19.3,13,1.23,88,3.17
5032,PI_533980,PI_533980,SAP-275,20,28,5,SufficientNitrogen,69,57.9,7.23,0,8,43.4,347.2,54.1,6.5,13,72,0,30.37,12.03,24.9,9.02,1.32,71.67,2.37
5036,PI_542718,PI_656076,SC_1271,24,28,5,SufficientNitrogen,72,60.4,7.68,0,19,19.8,376.2,41,3.4,8,128,1,26.15,13.76,11,8.98,4.52,49.33,1.5
5037,PI_533800,BTx623,BTx623,25,28,5,SufficientNitrogen,69,43.8,10.52,0,17,35.9,610.3,48.4,5.6,16,82,0,20.14,8.14,25.47,6.35,2.67,54.33,1.23
5038,PI_656118,PI_656118,SC_332,26,28,5,SufficientNitrogen,62,55.7,9.47,0,NA,27.8,NA,37,3.5,12,121,0.67,23.35,8.49,24.33,6.29,1.09,35.33,6.07
5039,PI_534115,PI_534115,Akwu,27,28,5,SufficientNitrogen,63,53.4,15.18,0,10,34,340,46.5,6.6,14,90,0,18.84,11.49,16.4,8.65,1.97,70.33,1.63
5066,PI_656043,PI_656043,KAT83369,15,27,5,SufficientNitrogen,66,35.3,2.42,0,12,95.2,1142.4,52.5,8.2,13,183,1,20.22,11.25,20.4,8.22,2.17,58.67,1.93
5067,PI_533838,PI_533838,BA45_Faria_Bonkum,16,27,5,SufficientNitrogen,53,37.6,3.65,0,11,8.1,89.1,46.5,3.7,12,80,0,22.33,9.82,9.37,6.07,3.77,36.33,3.03
5068,PI_601816,PI_601816,ICSV_400,17,27,5,SufficientNitrogen,67,49.9,4.78,0,6,24.8,148.8,47.9,6.2,13,201,0,24.91,11.09,29.5,7.36,1.35,61.67,1.67
5043,PI_656111,PI_656111,SC_971,18,27,5,SufficientNitrogen,67,62.1,4.28,0,39,29.8,1162.2,43.7,5.2,12,150,2,19.87,8.89,17.1,5.84,3.32,67,0.83
5044,PI_533936,PI_533936,1903_AS_4633,19,27,5,SufficientNitrogen,61,36.6,8.32,0,18,21.6,388.8,30.8,2.7,12,75,0.67,21.5,7.11,14.03,4.64,3.59,55,3.13
5045,PI_656081,PI_656081,SC_1439,20,27,5,SufficientNitrogen,56,47,4.66,0,39,9.3,362.7,44.5,3.7,7,138,4,18.07,8.12,29,4.72,1.94,49.67,2.83
5048,PI_655981,PI_595718,SAP-162,23,27,5,SufficientNitrogen,62,45.1,3.18,0,23,17.6,404.8,45,4.8,14,108,1.67,22.66,13.36,25.87,8.71,3.06,48.33,3.9
5049,PI_597951,PI_542718,SAN_CHI_SAN,24,27,5,SufficientNitrogen,51,66.1,13.04,0,23,17.8,409.4,38.3,3.6,7,92,0,21.13,11.98,17.63,9.07,2.41,79.67,1.87
5050,PI_656092,PI_533800,IS_12666C,25,27,5,SufficientNitrogen,75,31.2,5.68,0,24,30.9,741.6,30.4,3.7,16,281,0.67,27.54,10.95,17.63,7.01,2.82,60.67,1.6
5051,PI_276837,PI_276837,IS_12661,26,27,5,SufficientNitrogen,60,52.6,1.88,0,20,15.2,304,30,3,9,140,0,19.96,8.77,15.67,6.58,2.95,41.33,2.67
5052,PI_656016,PI_656016,B_KS66,27,27,5,SufficientNitrogen,67,37.4,3.99,0,15,21.3,319.5,36.2,4.4,14,97,0,24.76,10.49,27.87,7.5,2.37,40.33,2.9
5079,PI_576437,PI_576437,SAP-155,15,26,5,SufficientNitrogen,61,57,7.55,0,43,16.3,700.9,42.5,4.8,12,159,2.33,19.58,7.94,33.97,4.19,1.67,50.67,2.67
5080,PI_534144,PI_534144,Kabutuwa,16,26,5,SufficientNitrogen,64,59.1,4.1,0,30,31.8,954,26,5,11,150,0,17.43,12.19,8.17,6.63,3.26,50,0.73
5081,PI_564163,BTx623,BTx623,17,26,5,SufficientNitrogen,57,37.2,4.45,0,14,55.4,775.6,36.5,4.5,11,90,0,21.43,10.57,26.63,5.79,3.12,58.33,1.77
5056,PI_576352,PI_576352,Marupantse,18,26,5,SufficientNitrogen,63,72.3,4.36,0,11,28.7,315.7,17.5,5.4,10,75,0.33,24.46,10.97,22.9,7.17,4.08,49.33,1.5
5057,PI_655975,PI_655975,WHEATLAND,19,26,5,SufficientNitrogen,63,52.6,1.8,1,13,77.8,1011.4,28.5,3.3,14,79,2,30.38,12.82,18,6.12,3.05,43.67,1.97
5058,PI_533924,PI_533924,R3121,20,26,5,SufficientNitrogen,69,56.6,6.61,0,11,19.4,213.4,38.6,5.2,12,69,0.67,27.83,11.17,16.4,7.18,3.49,32.33,2.53
5061,PI_659695,PI_655981,SAP-50,23,26,5,SufficientNitrogen,57,40.5,5.09,0,17,43.3,736.1,39.3,4.7,12,80,0,22.8,9.23,34.63,6.28,2.06,67,1.93
5064,PI_656055,PI_656055,P-721,26,26,5,SufficientNitrogen,62,40.8,5.65,0,18,45.6,820.8,45.8,6.4,13,90,0,24.8,11.26,24.6,6.72,3.37,80,3.97
5065,PI_656121,PI_656121,SC_947,27,26,5,SufficientNitrogen,59,61.3,4.05,0,18,35.1,631.8,29.7,3.2,10,85,1,19.65,9.16,23.9,6.95,3.55,60.33,2.1
5092,PI_656000,PI_656000,RTx432,15,25,5,SufficientNitrogen,57,32.8,6.76,0,17,39.5,671.5,32.6,6.1,11,83,1,27.75,9.95,31.1,8.3,0.75,92.33,2.03
5093,PI_533915,PI_533915,No_755_Muzeba,16,25,5,SufficientNitrogen,62,69.9,7.86,0,28,18.6,520.8,24.3,5,11,152,1,20.4,10.64,23.37,8.41,1.35,37,2.6
5094,PI_656104,PI_656104,SC_621,17,25,5,SufficientNitrogen,56,36.7,1.26,0,28,13.8,386.4,31,3.6,9,118,0.33,12.06,6.5,15.33,5.79,2.51,84,1.43
5069,PI_651496,PI_651496,RIO,18,25,5,SufficientNitrogen,75,37.6,4.21,0,17,31.5,535.5,26.6,4.7,14,249,0,22.57,8.9,24.37,6.45,1.27,52.67,2.47
5071,PI_656060,PI_656060,QL3-TEXAS,20,25,5,SufficientNitrogen,59,56.1,3.37,0,14,43.7,611.8,31.6,3.5,11,87,0,22.41,9.88,16.67,6.61,2.86,51.33,1.6
5072,PI_34911,PI_34911,FCI_4201,21,25,5,SufficientNitrogen,67,49.5,1.4,1,4,NA,NA,42.6,5.8,13,89,1,26.78,15.29,21.25,11.79,1.25,64.5,3.25
5074,PI_564163,PI_659695,IS_12623C,23,25,5,SufficientNitrogen,59,44.3,3.6,0,14,74.6,1044.4,47.9,4.9,11,108,0.33,23.21,11.28,26.57,7.47,1.09,60.67,2.3
5075,PI_656080,PI_597982,SAP-175,24,25,5,SufficientNitrogen,64,50.8,9.81,0,23,8.4,193.2,49.5,4.8,9,60,0.33,19.87,8.95,23.53,6.97,1.56,43.33,2.53
5076,PI_656090,PI_656032,CE260-12-1-1,25,25,5,SufficientNitrogen,65,39.7,8.05,0,25,5.4,135,33.9,3.3,11,103,0.33,20.97,8.96,29.67,5.82,0.79,62.33,3.1
